"sub","id","trial","high","phigh","low","medium","risky.choice"
2,34,60,1.3,0.05,-4.3,-4.1,0
3,31,1,6.7,0.95,-1.8,6.4,1
3,17,2,-9.7,0.1,-24.7,-23.8,1
3,9,3,-5.7,0.95,-16.3,-6.1,1
3,14,4,-8.8,0.6,-19.5,-15.5,1
3,37,5,2.1,0.8,-8.4,1.3,0
3,26,6,6.4,0.05,-5.3,-4.9,1
3,24,7,9.2,0.05,-9.5,-7.5,0
3,58,8,20.8,0.99,8.9,20.7,0
3,48,9,18.2,0.98,6.9,18.1,0
3,39,10,7.4,0.3,-8.2,-6.9,1
3,45,11,2.8,0.8,1,2.2,0
3,13,12,-2,0.05,-10.4,-9.4,1
3,56,13,26.5,0.94,8.3,25.2,1
3,29,14,7.9,0.92,-2.3,7,0
3,5,15,-1.7,0.9,-3.9,-1.9,0
3,3,16,-6.3,0.3,-15.2,-12.2,1
3,40,17,6,0.98,-1.3,5.9,0
3,41,18,18.8,0.8,7.6,15.5,0
3,59,19,10.1,0.3,4.2,6,1
3,11,20,-1.2,0.02,-12.3,-12.1,1
3,49,21,13.4,0.5,3.8,9.9,0
3,60,22,8,0.92,0.8,7.7,0
3,28,23,5.9,0.8,-0.8,4.6,0
3,57,24,11.5,0.6,3.7,7.9,0
3,2,25,-0.9,0.95,-4.2,-1,0
3,27,26,1.6,0.93,-8.3,1.2,0
3,43,27,22.9,0.06,9.6,9.2,1
3,19,28,-6.5,0.9,-17.5,-8.4,1
3,30,29,3,0.91,-7.7,1.4,0
3,46,30,17.1,0.1,6.9,8,1
3,32,31,6.7,0.93,-5,5.6,0
3,15,32,-8.9,0.08,-26.3,-25.4,1
3,54,33,16.5,0.01,6.9,7,1
3,6,34,-6.3,0.99,-15.7,-6.4,0
3,55,35,11.4,0.97,1.9,11,0
3,34,36,1.3,0.05,-4.3,-4.1,1
3,8,37,-0.7,0.1,-6.5,-6,1
3,20,38,-4.3,0.6,-16.1,-4.5,0
3,10,39,-1.5,0.92,-6.4,-1.8,0
3,16,40,-7.1,0.07,-19.6,-18.7,1
3,35,41,3,0.93,-7.2,2.2,0
3,47,42,24.3,0.04,9.7,10.6,1
3,53,43,25.7,0.1,8.1,11.5,0
3,21,44,2,0.1,-5.7,-4.6,1
3,25,45,7.4,0.02,-6.6,-6.4,1
3,33,46,7.3,0.96,-8.5,6.8,0
3,1,47,-0.3,0.96,-2.1,-0.3,0
3,18,48,-4,0.2,-9.3,-8.1,1
3,50,49,5.8,0.04,2.7,2.8,1
3,51,50,13.1,0.94,3.8,12.8,0
3,42,51,17.9,0.92,7.2,17.1,0
3,36,52,5,0.08,-9.1,-7.9,1
3,23,53,7.3,0.8,-3.6,5.6,0
3,38,54,6.7,0.07,-6.2,-5.1,0
3,12,55,-5.4,0.94,-16.8,-6.4,0
3,52,56,3.5,0.09,0.1,0.5,0
3,4,57,-10,0.2,-29.2,-25.6,1
3,7,58,-5.6,0.7,-20.2,-11.7,1
3,44,59,10,0.96,1.7,9.9,0
3,22,60,9.6,0.91,-6.4,8.7,0
4,28,1,5.9,0.8,-0.8,4.6,1
4,20,2,-4.3,0.6,-16.1,-4.5,0
4,21,3,2,0.1,-5.7,-4.6,0
4,43,4,22.9,0.06,9.6,9.2,1
4,5,5,-1.7,0.9,-3.9,-1.9,1
4,25,6,7.4,0.02,-6.6,-6.4,0
4,27,7,1.6,0.93,-8.3,1.2,1
4,56,8,26.5,0.94,8.3,25.2,0
4,6,9,-6.3,0.99,-15.7,-6.4,1
4,17,10,-9.7,0.1,-24.7,-23.8,0
4,9,11,-5.7,0.95,-16.3,-6.1,0
4,3,12,-6.3,0.3,-15.2,-12.2,1
4,32,13,6.7,0.93,-5,5.6,1
4,19,14,-6.5,0.9,-17.5,-8.4,0
4,13,15,-2,0.05,-10.4,-9.4,0
4,29,16,7.9,0.92,-2.3,7,1
4,10,17,-1.5,0.92,-6.4,-1.8,1
4,34,18,1.3,0.05,-4.3,-4.1,1
4,18,19,-4,0.2,-9.3,-8.1,0
4,50,20,5.8,0.04,2.7,2.8,1
4,54,21,16.5,0.01,6.9,7,1
4,23,22,7.3,0.8,-3.6,5.6,0
4,51,23,13.1,0.94,3.8,12.8,0
4,48,24,18.2,0.98,6.9,18.1,0
4,53,25,25.7,0.1,8.1,11.5,0
4,55,26,11.4,0.97,1.9,11,0
4,36,27,5,0.08,-9.1,-7.9,0
4,47,28,24.3,0.04,9.7,10.6,0
4,8,29,-0.7,0.1,-6.5,-6,0
4,7,30,-5.6,0.7,-20.2,-11.7,0
4,33,31,7.3,0.96,-8.5,6.8,1
4,16,32,-7.1,0.07,-19.6,-18.7,1
4,39,33,7.4,0.3,-8.2,-6.9,1
4,49,34,13.4,0.5,3.8,9.9,0
4,52,35,3.5,0.09,0.1,0.5,0
4,57,36,11.5,0.6,3.7,7.9,0
4,31,37,6.7,0.95,-1.8,6.4,0
4,2,38,-0.9,0.95,-4.2,-1,1
4,42,39,17.9,0.92,7.2,17.1,1
4,44,40,10,0.96,1.7,9.9,1
4,46,41,17.1,0.1,6.9,8,0
4,59,42,10.1,0.3,4.2,6,0
4,37,43,2.1,0.8,-8.4,1.3,0
4,30,44,3,0.91,-7.7,1.4,1
4,41,45,18.8,0.8,7.6,15.5,0
4,15,46,-8.9,0.08,-26.3,-25.4,0
4,38,47,6.7,0.07,-6.2,-5.1,0
4,58,48,20.8,0.99,8.9,20.7,0
4,11,49,-1.2,0.02,-12.3,-12.1,1
4,45,50,2.8,0.8,1,2.2,1
4,40,51,6,0.98,-1.3,5.9,0
4,22,52,9.6,0.91,-6.4,8.7,0
4,24,53,9.2,0.05,-9.5,-7.5,0
4,26,54,6.4,0.05,-5.3,-4.9,0
4,4,55,-10,0.2,-29.2,-25.6,0
4,35,56,3,0.93,-7.2,2.2,0
4,60,57,8,0.92,0.8,7.7,1
4,1,58,-0.3,0.96,-2.1,-0.3,1
4,14,59,-8.8,0.6,-19.5,-15.5,0
4,12,60,-5.4,0.94,-16.8,-6.4,0
5,2,1,-0.9,0.95,-4.2,-1,1
5,16,2,-7.1,0.07,-19.6,-18.7,0
5,32,3,6.7,0.93,-5,5.6,0
5,29,4,7.9,0.92,-2.3,7,0
5,25,5,7.4,0.02,-6.6,-6.4,1
5,30,6,3,0.91,-7.7,1.4,0
5,24,7,9.2,0.05,-9.5,-7.5,0
5,49,8,13.4,0.5,3.8,9.9,0
5,6,9,-6.3,0.99,-15.7,-6.4,1
5,60,10,8,0.92,0.8,7.7,0
5,39,11,7.4,0.3,-8.2,-6.9,1
5,12,12,-5.4,0.94,-16.8,-6.4,0
5,38,13,6.7,0.07,-6.2,-5.1,0
5,53,14,25.7,0.1,8.1,11.5,1
5,47,15,24.3,0.04,9.7,10.6,1
5,46,16,17.1,0.1,6.9,8,1
5,44,17,10,0.96,1.7,9.9,1
5,23,18,7.3,0.8,-3.6,5.6,0
5,26,19,6.4,0.05,-5.3,-4.9,1
5,41,20,18.8,0.8,7.6,15.5,0
5,5,21,-1.7,0.9,-3.9,-1.9,0
5,50,22,5.8,0.04,2.7,2.8,1
5,52,23,3.5,0.09,0.1,0.5,1
5,11,24,-1.2,0.02,-12.3,-12.1,1
5,13,25,-2,0.05,-10.4,-9.4,1
5,7,26,-5.6,0.7,-20.2,-11.7,1
5,58,27,20.8,0.99,8.9,20.7,1
5,42,28,17.9,0.92,7.2,17.1,0
5,37,29,2.1,0.8,-8.4,1.3,0
5,18,30,-4,0.2,-9.3,-8.1,1
5,20,31,-4.3,0.6,-16.1,-4.5,0
5,43,32,22.9,0.06,9.6,9.2,1
5,55,33,11.4,0.97,1.9,11,0
5,51,34,13.1,0.94,3.8,12.8,0
5,59,35,10.1,0.3,4.2,6,1
5,4,36,-10,0.2,-29.2,-25.6,1
5,36,37,5,0.08,-9.1,-7.9,0
5,48,38,18.2,0.98,6.9,18.1,0
5,54,39,16.5,0.01,6.9,7,1
5,10,40,-1.5,0.92,-6.4,-1.8,0
5,34,41,1.3,0.05,-4.3,-4.1,0
5,45,42,2.8,0.8,1,2.2,1
5,17,43,-9.7,0.1,-24.7,-23.8,1
5,27,44,1.6,0.93,-8.3,1.2,0
5,14,45,-8.8,0.6,-19.5,-15.5,1
5,31,46,6.7,0.95,-1.8,6.4,0
5,19,47,-6.5,0.9,-17.5,-8.4,1
5,9,48,-5.7,0.95,-16.3,-6.1,1
5,1,49,-0.3,0.96,-2.1,-0.3,0
5,57,50,11.5,0.6,3.7,7.9,0
5,8,51,-0.7,0.1,-6.5,-6,1
5,22,52,9.6,0.91,-6.4,8.7,0
5,40,53,6,0.98,-1.3,5.9,0
5,21,54,2,0.1,-5.7,-4.6,1
5,28,55,5.9,0.8,-0.8,4.6,0
5,56,56,26.5,0.94,8.3,25.2,0
5,33,57,7.3,0.96,-8.5,6.8,0
5,35,58,3,0.93,-7.2,2.2,0
5,15,59,-8.9,0.08,-26.3,-25.4,0
5,3,60,-6.3,0.3,-15.2,-12.2,1
6,43,1,22.9,0.06,9.6,9.2,0
6,39,2,7.4,0.3,-8.2,-6.9,1
6,1,3,-0.3,0.96,-2.1,-0.3,0
6,2,4,-0.9,0.95,-4.2,-1,0
6,52,5,3.5,0.09,0.1,0.5,0
6,49,6,13.4,0.5,3.8,9.9,0
6,8,7,-0.7,0.1,-6.5,-6,1
6,22,8,9.6,0.91,-6.4,8.7,0
6,32,9,6.7,0.93,-5,5.6,0
6,47,10,24.3,0.04,9.7,10.6,1
6,46,11,17.1,0.1,6.9,8,0
6,17,12,-9.7,0.1,-24.7,-23.8,1
6,16,13,-7.1,0.07,-19.6,-18.7,0
6,50,14,5.8,0.04,2.7,2.8,1
6,29,15,7.9,0.92,-2.3,7,0
6,34,16,1.3,0.05,-4.3,-4.1,1
6,55,17,11.4,0.97,1.9,11,0
6,15,18,-8.9,0.08,-26.3,-25.4,0
6,45,19,2.8,0.8,1,2.2,0
6,23,20,7.3,0.8,-3.6,5.6,0
6,4,21,-10,0.2,-29.2,-25.6,0
6,44,22,10,0.96,1.7,9.9,0
6,6,23,-6.3,0.99,-15.7,-6.4,1
6,31,24,6.7,0.95,-1.8,6.4,0
6,60,25,8,0.92,0.8,7.7,0
6,10,26,-1.5,0.92,-6.4,-1.8,0
6,21,27,2,0.1,-5.7,-4.6,0
6,38,28,6.7,0.07,-6.2,-5.1,0
6,56,29,26.5,0.94,8.3,25.2,0
6,51,30,13.1,0.94,3.8,12.8,0
6,30,31,3,0.91,-7.7,1.4,0
6,7,32,-5.6,0.7,-20.2,-11.7,0
6,48,33,18.2,0.98,6.9,18.1,0
6,58,34,20.8,0.99,8.9,20.7,0
6,19,35,-6.5,0.9,-17.5,-8.4,0
6,14,36,-8.8,0.6,-19.5,-15.5,0
6,36,37,5,0.08,-9.1,-7.9,0
6,53,38,25.7,0.1,8.1,11.5,0
6,11,39,-1.2,0.02,-12.3,-12.1,1
6,27,40,1.6,0.93,-8.3,1.2,0
6,3,41,-6.3,0.3,-15.2,-12.2,0
6,59,42,10.1,0.3,4.2,6,0
6,33,43,7.3,0.96,-8.5,6.8,0
6,41,44,18.8,0.8,7.6,15.5,0
6,18,45,-4,0.2,-9.3,-8.1,1
6,9,46,-5.7,0.95,-16.3,-6.1,0
6,42,47,17.9,0.92,7.2,17.1,0
6,24,48,9.2,0.05,-9.5,-7.5,0
6,5,49,-1.7,0.9,-3.9,-1.9,0
6,25,50,7.4,0.02,-6.6,-6.4,0
6,28,51,5.9,0.8,-0.8,4.6,0
6,26,52,6.4,0.05,-5.3,-4.9,1
6,12,53,-5.4,0.94,-16.8,-6.4,0
6,20,54,-4.3,0.6,-16.1,-4.5,0
6,35,55,3,0.93,-7.2,2.2,0
6,37,56,2.1,0.8,-8.4,1.3,0
6,54,57,16.5,0.01,6.9,7,1
6,13,58,-2,0.05,-10.4,-9.4,0
6,40,59,6,0.98,-1.3,5.9,0
6,57,60,11.5,0.6,3.7,7.9,0
7,12,1,-5.4,0.94,-16.8,-6.4,0
7,29,2,7.9,0.92,-2.3,7,1
7,34,3,1.3,0.05,-4.3,-4.1,1
7,35,4,3,0.93,-7.2,2.2,0
7,52,5,3.5,0.09,0.1,0.5,1
7,3,6,-6.3,0.3,-15.2,-12.2,1
7,14,7,-8.8,0.6,-19.5,-15.5,0
7,49,8,13.4,0.5,3.8,9.9,0
7,26,9,6.4,0.05,-5.3,-4.9,1
7,60,10,8,0.92,0.8,7.7,0
7,15,11,-8.9,0.08,-26.3,-25.4,1
7,24,12,9.2,0.05,-9.5,-7.5,1
7,38,13,6.7,0.07,-6.2,-5.1,1
7,28,14,5.9,0.8,-0.8,4.6,1
7,32,15,6.7,0.93,-5,5.6,0
7,47,16,24.3,0.04,9.7,10.6,1
7,39,17,7.4,0.3,-8.2,-6.9,1
7,44,18,10,0.96,1.7,9.9,0
7,55,19,11.4,0.97,1.9,11,0
7,27,20,1.6,0.93,-8.3,1.2,0
7,45,21,2.8,0.8,1,2.2,1
7,33,22,7.3,0.96,-8.5,6.8,0
7,42,23,17.9,0.92,7.2,17.1,0
7,5,24,-1.7,0.9,-3.9,-1.9,1
7,11,25,-1.2,0.02,-12.3,-12.1,1
7,22,26,9.6,0.91,-6.4,8.7,0
7,6,27,-6.3,0.99,-15.7,-6.4,1
7,4,28,-10,0.2,-29.2,-25.6,1
7,54,29,16.5,0.01,6.9,7,1
7,36,30,5,0.08,-9.1,-7.9,1
7,8,31,-0.7,0.1,-6.5,-6,1
7,48,32,18.2,0.98,6.9,18.1,0
7,57,33,11.5,0.6,3.7,7.9,1
7,37,34,2.1,0.8,-8.4,1.3,0
7,9,35,-5.7,0.95,-16.3,-6.1,1
7,46,36,17.1,0.1,6.9,8,1
7,56,37,26.5,0.94,8.3,25.2,0
7,25,38,7.4,0.02,-6.6,-6.4,1
7,40,39,6,0.98,-1.3,5.9,0
7,10,40,-1.5,0.92,-6.4,-1.8,0
7,58,41,20.8,0.99,8.9,20.7,0
7,16,42,-7.1,0.07,-19.6,-18.7,1
7,19,43,-6.5,0.9,-17.5,-8.4,1
7,13,44,-2,0.05,-10.4,-9.4,1
7,17,45,-9.7,0.1,-24.7,-23.8,1
7,20,46,-4.3,0.6,-16.1,-4.5,0
7,31,47,6.7,0.95,-1.8,6.4,0
7,1,48,-0.3,0.96,-2.1,-0.3,0
7,53,49,25.7,0.1,8.1,11.5,0
7,41,50,18.8,0.8,7.6,15.5,0
7,2,51,-0.9,0.95,-4.2,-1,0
7,43,52,22.9,0.06,9.6,9.2,1
7,7,53,-5.6,0.7,-20.2,-11.7,1
7,59,54,10.1,0.3,4.2,6,1
7,18,55,-4,0.2,-9.3,-8.1,1
7,23,56,7.3,0.8,-3.6,5.6,0
7,30,57,3,0.91,-7.7,1.4,0
7,50,58,5.8,0.04,2.7,2.8,1
7,21,59,2,0.1,-5.7,-4.6,1
7,51,60,13.1,0.94,3.8,12.8,0
8,32,1,6.7,0.93,-5,5.6,0
8,56,2,26.5,0.94,8.3,25.2,0
8,21,3,2,0.1,-5.7,-4.6,0
8,41,4,18.8,0.8,7.6,15.5,0
8,3,5,-6.3,0.3,-15.2,-12.2,1
8,10,6,-1.5,0.92,-6.4,-1.8,0
8,8,7,-0.7,0.1,-6.5,-6,1
8,16,8,-7.1,0.07,-19.6,-18.7,0
8,7,9,-5.6,0.7,-20.2,-11.7,0
8,13,10,-2,0.05,-10.4,-9.4,1
8,20,11,-4.3,0.6,-16.1,-4.5,0
8,31,12,6.7,0.95,-1.8,6.4,0
8,51,13,13.1,0.94,3.8,12.8,0
8,34,14,1.3,0.05,-4.3,-4.1,1
8,45,15,2.8,0.8,1,2.2,0
8,52,16,3.5,0.09,0.1,0.5,1
8,54,17,16.5,0.01,6.9,7,1
8,5,18,-1.7,0.9,-3.9,-1.9,0
8,60,19,8,0.92,0.8,7.7,0
8,44,20,10,0.96,1.7,9.9,0
8,4,21,-10,0.2,-29.2,-25.6,1
8,59,22,10.1,0.3,4.2,6,0
8,26,23,6.4,0.05,-5.3,-4.9,1
8,46,24,17.1,0.1,6.9,8,0
8,39,25,7.4,0.3,-8.2,-6.9,1
8,27,26,1.6,0.93,-8.3,1.2,0
8,58,27,20.8,0.99,8.9,20.7,0
8,28,28,5.9,0.8,-0.8,4.6,0
8,37,29,2.1,0.8,-8.4,1.3,0
8,29,30,7.9,0.92,-2.3,7,0
8,12,31,-5.4,0.94,-16.8,-6.4,0
8,38,32,6.7,0.07,-6.2,-5.1,1
8,2,33,-0.9,0.95,-4.2,-1,0
8,57,34,11.5,0.6,3.7,7.9,0
8,47,35,24.3,0.04,9.7,10.6,1
8,19,36,-6.5,0.9,-17.5,-8.4,0
8,1,37,-0.3,0.96,-2.1,-0.3,0
8,24,38,9.2,0.05,-9.5,-7.5,0
8,6,39,-6.3,0.99,-15.7,-6.4,0
8,43,40,22.9,0.06,9.6,9.2,1
8,35,41,3,0.93,-7.2,2.2,0
8,36,42,5,0.08,-9.1,-7.9,0
8,33,43,7.3,0.96,-8.5,6.8,0
8,23,44,7.3,0.8,-3.6,5.6,0
8,55,45,11.4,0.97,1.9,11,0
8,11,46,-1.2,0.02,-12.3,-12.1,1
8,15,47,-8.9,0.08,-26.3,-25.4,1
8,53,48,25.7,0.1,8.1,11.5,1
8,25,49,7.4,0.02,-6.6,-6.4,1
8,22,50,9.6,0.91,-6.4,8.7,0
8,49,51,13.4,0.5,3.8,9.9,0
8,30,52,3,0.91,-7.7,1.4,0
8,50,53,5.8,0.04,2.7,2.8,1
8,48,54,18.2,0.98,6.9,18.1,0
8,40,55,6,0.98,-1.3,5.9,0
8,42,56,17.9,0.92,7.2,17.1,0
8,18,57,-4,0.2,-9.3,-8.1,0
8,9,58,-5.7,0.95,-16.3,-6.1,0
8,17,59,-9.7,0.1,-24.7,-23.8,1
8,14,60,-8.8,0.6,-19.5,-15.5,0
9,14,1,-8.8,0.6,-19.5,-15.5,1
9,47,2,24.3,0.04,9.7,10.6,1
9,37,3,2.1,0.8,-8.4,1.3,0
9,54,4,16.5,0.01,6.9,7,1
9,28,5,5.9,0.8,-0.8,4.6,1
9,5,6,-1.7,0.9,-3.9,-1.9,0
9,21,7,2,0.1,-5.7,-4.6,0
9,7,8,-5.6,0.7,-20.2,-11.7,0
9,1,9,-0.3,0.96,-2.1,-0.3,0
9,19,10,-6.5,0.9,-17.5,-8.4,0
9,30,11,3,0.91,-7.7,1.4,0
9,55,12,11.4,0.97,1.9,11,0
9,52,13,3.5,0.09,0.1,0.5,0
9,23,14,7.3,0.8,-3.6,5.6,1
9,11,15,-1.2,0.02,-12.3,-12.1,1
9,3,16,-6.3,0.3,-15.2,-12.2,0
9,15,17,-8.9,0.08,-26.3,-25.4,1
9,13,18,-2,0.05,-10.4,-9.4,1
9,27,19,1.6,0.93,-8.3,1.2,0
9,20,20,-4.3,0.6,-16.1,-4.5,0
9,56,21,26.5,0.94,8.3,25.2,0
9,39,22,7.4,0.3,-8.2,-6.9,1
9,42,23,17.9,0.92,7.2,17.1,0
9,38,24,6.7,0.07,-6.2,-5.1,1
9,53,25,25.7,0.1,8.1,11.5,1
9,12,26,-5.4,0.94,-16.8,-6.4,0
9,41,27,18.8,0.8,7.6,15.5,1
9,29,28,7.9,0.92,-2.3,7,1
9,18,29,-4,0.2,-9.3,-8.1,1
9,51,30,13.1,0.94,3.8,12.8,0
9,49,31,13.4,0.5,3.8,9.9,0
9,25,32,7.4,0.02,-6.6,-6.4,1
9,48,33,18.2,0.98,6.9,18.1,0
9,33,34,7.3,0.96,-8.5,6.8,1
9,17,35,-9.7,0.1,-24.7,-23.8,1
9,22,36,9.6,0.91,-6.4,8.7,0
9,45,37,2.8,0.8,1,2.2,1
9,26,38,6.4,0.05,-5.3,-4.9,1
9,40,39,6,0.98,-1.3,5.9,0
9,34,40,1.3,0.05,-4.3,-4.1,1
9,9,41,-5.7,0.95,-16.3,-6.1,0
9,36,42,5,0.08,-9.1,-7.9,1
9,35,43,3,0.93,-7.2,2.2,1
9,46,44,17.1,0.1,6.9,8,0
9,32,45,6.7,0.93,-5,5.6,1
9,31,46,6.7,0.95,-1.8,6.4,0
9,24,47,9.2,0.05,-9.5,-7.5,0
9,58,48,20.8,0.99,8.9,20.7,1
9,50,49,5.8,0.04,2.7,2.8,0
9,2,50,-0.9,0.95,-4.2,-1,1
9,10,51,-1.5,0.92,-6.4,-1.8,1
9,44,52,10,0.96,1.7,9.9,1
9,4,53,-10,0.2,-29.2,-25.6,1
9,60,54,8,0.92,0.8,7.7,1
9,43,55,22.9,0.06,9.6,9.2,1
9,16,56,-7.1,0.07,-19.6,-18.7,1
9,6,57,-6.3,0.99,-15.7,-6.4,1
9,59,58,10.1,0.3,4.2,6,1
9,57,59,11.5,0.6,3.7,7.9,1
9,8,60,-0.7,0.1,-6.5,-6,1
10,52,1,3.5,0.09,0.1,0.5,0
10,19,2,-6.5,0.9,-17.5,-8.4,1
10,30,3,3,0.91,-7.7,1.4,1
10,40,4,6,0.98,-1.3,5.9,0
10,28,5,5.9,0.8,-0.8,4.6,1
10,20,6,-4.3,0.6,-16.1,-4.5,1
10,12,7,-5.4,0.94,-16.8,-6.4,1
10,4,8,-10,0.2,-29.2,-25.6,1
10,22,9,9.6,0.91,-6.4,8.7,0
10,41,10,18.8,0.8,7.6,15.5,0
10,50,11,5.8,0.04,2.7,2.8,1
10,34,12,1.3,0.05,-4.3,-4.1,1
10,55,13,11.4,0.97,1.9,11,0
10,49,14,13.4,0.5,3.8,9.9,0
10,15,15,-8.9,0.08,-26.3,-25.4,1
10,3,16,-6.3,0.3,-15.2,-12.2,0
10,27,17,1.6,0.93,-8.3,1.2,0
10,39,18,7.4,0.3,-8.2,-6.9,1
10,56,19,26.5,0.94,8.3,25.2,0
10,31,20,6.7,0.95,-1.8,6.4,0
10,59,21,10.1,0.3,4.2,6,1
